HEADER
VTF File Version,1.0
VTF File Type,0
PID,1687471
Generated on,2023-11-24 15:30:12
Resolution,ms
Min Resolution,ns
Trace Version,1.0
XRT Version,2023.1

STRUCTURE
Group_Start,Native API Host Trace
Dynamic_Row,1,Native XRT API Calls,API Events
Group_Start,Host to Device Data Transfers
Dynamic_Row,2,Reads,Read Transfers
Dynamic_Row,3,Writes,Write Transfers
Group_End,Host to Device Data Transfers
Group_End,Native API Host Trace

MAPPING
1024,0,985.151162,1,API_CALL,29
1029,1024,985.151263,1,API_CALL,29
1028,0,985.154616,1,API_CALL,29
1037,1028,985.154662,1,API_CALL,29
1031,0,985.159231,1,API_CALL,29
1033,1031,985.159270,1,API_CALL,29
1041,0,985.173492,1,API_CALL,22
1044,1041,985.190938,1,API_CALL,22
1045,0,985.199520,1,API_CALL,40
1052,0,985.209723,1,API_CALL,22
1053,1045,985.211282,1,API_CALL,40
1055,0,985.222967,1,API_CALL,29
1056,1055,985.223082,1,API_CALL,29
1059,1052,985.225543,1,API_CALL,22
1058,0,985.240037,1,API_CALL,29
1063,1058,985.240121,1,API_CALL,29
1064,0,985.245283,1,API_CALL,29
1066,1064,985.245319,1,API_CALL,29
1075,0,985.270749,1,API_CALL,29
1076,1075,985.270866,1,API_CALL,29
1077,0,985.273520,1,API_CALL,29
1078,1077,985.273553,1,API_CALL,29
1080,0,985.285627,1,API_CALL,40
1082,1080,985.294047,1,API_CALL,40
1085,0,985.304598,1,API_CALL,29
1087,1085,985.304658,1,API_CALL,29
1088,0,985.306829,1,API_CALL,29
1090,1088,985.306865,1,API_CALL,29
1092,0,985.332090,1,API_CALL,34
1093,0,985.332133,2,API_CALL,43
1101,1092,985.346441,1,API_CALL,34
1102,1093,985.346441,2,API_CALL,43
1106,0,985.368262,1,API_CALL,29
1107,1106,985.368370,1,API_CALL,29
1108,0,985.370408,1,API_CALL,29
1109,1108,985.370444,1,API_CALL,29
1112,0,985.391813,1,API_CALL,29
1113,1112,985.393573,1,API_CALL,29
1114,0,985.395300,1,API_CALL,29
1115,1114,985.395352,1,API_CALL,29
1119,0,985.401560,1,API_CALL,29
1121,1119,985.401599,1,API_CALL,29
1122,0,985.413933,1,API_CALL,29
1126,1122,985.414045,1,API_CALL,29
1127,0,985.417624,1,API_CALL,34
1128,0,985.417650,3,API_CALL,35
1124,0,985.425385,1,API_CALL,34
1125,0,985.425423,3,API_CALL,35
1129,1127,985.432301,1,API_CALL,34
1130,1128,985.432301,3,API_CALL,35
1131,1124,985.440113,1,API_CALL,34
1132,1125,985.440113,3,API_CALL,35
1134,0,985.474219,1,API_CALL,29
1137,1134,985.474468,1,API_CALL,29
